"Market-wise, Commodity-wise Daily Report on: 19-Dec-2025"

Commodity,Arrivals,Unit of Arrivals,Variety,Grade,Minimum Price,Maximum Price,Modal Price,Unit of Price
State Name : Maharashtra
Market Name : ACF Agro Marketing  APMC
Green Chilli,10.5,Metric Tonnes,Other,Local,3000.0,3500.0,3250.0,Rs./Quintal
Guar,1.0,Metric Tonnes,Other,Local,4500.0,5000.0,4750.0,Rs./Quintal
Methi(Leaves),11.9,Metric Tonnes,Other,Local,600.0,700.0,650.0,Rs./Quintal
Onion,36.8,Metric Tonnes,Red,Local,1000.0,2800.0,1900.0,Rs./Quintal
Peas Wet,13.6,Metric Tonnes,Other,Local,3500.0,4000.0,3750.0,Rs./Quintal
Potato,48.8,Metric Tonnes,Local,Local,600.0,2200.0,1400.0,Rs./Quintal
Pumpkin,10.9,Metric Tonnes,Other,Local,1200.0,1400.0,1300.0,Rs./Quintal
Spinach,16.7,Metric Tonnes,Other,Local,1000.0,1400.0,1200.0,Rs./Quintal
Tomato,16.7,Metric Tonnes,Local,Local,2400.0,3000.0,2700.0,Rs./Quintal
Market Name : Anajngaon APMC
Not Reported
Market Name : Arihant Krishi Utpan Bazar  APMC
Not Reported
Market Name : Arjuni APMC
Not Reported
Market Name : Armori APMC
Not Reported
Market Name : Armori(Desaiganj) APMC
Not Reported
Market Name : Arvi APMC
Soyabean,32.0,Metric Tonnes,Yellow,Non-FAQ,3000.0,4650.0,4100.0,Rs./Quintal
Market Name : Ashti APMC
Not Reported
Market Name : Ashti(Jalna) APMC
Not Reported
Market Name : Ashti(Karanja) APMC
Not Reported
Market Name : Aurad Shahajani APMC
Not Reported
Market Name : Ausa APMC
NIL Transaction
Market Name : BSK Krishi Bazar Private Ltd APMC
Not Reported
Market Name : Babhulgaon APMC
Soyabean,135.0,Metric Tonnes,Yellow,Non-FAQ,3501.0,4790.0,4201.0,Rs./Quintal
Market Name : Balaji Krushi Market APMC
Not Reported
Market Name : Balapur APMC
Not Reported
Market Name : Baphana Agro Market Inc APMC
Not Reported
Market Name : Baramati APMC
Gur(Jaggery),0.3,Metric Tonnes,Other,Local,3900.0,3900.0,3900.0,Rs./Quintal
Soyabean,10.3,Metric Tonnes,Yellow,Non-FAQ,4000.0,4462.0,4450.0,Rs./Quintal
Sunflower,0.4,Metric Tonnes,Other,Non-FAQ,4700.0,6100.0,6100.0,Rs./Quintal
Market Name : Barshi APMC
Not Reported
Market Name : Barshi Takli APMC
Not Reported
Market Name : Barshi(Vairag) APMC
Not Reported
Market Name : Basmat APMC
Not Reported
Market Name : Basmat(Kurunda) APMC
Not Reported
Market Name : Baswant APMC
Not Reported
Market Name : Beed APMC
Not Reported
Market Name : Bhadrawati APMC
Cotton,155.1,Metric Tonnes,Other,Local,7300.0,8035.0,7667.0,Rs./Quintal
Paddy(Common),9.0,Metric Tonnes,Other,Non-FAQ,2300.0,2300.0,2300.0,Rs./Quintal
Soyabean,1.0,Metric Tonnes,Yellow,Non-FAQ,1200.0,1200.0,1200.0,Rs./Quintal
Market Name : Bhagyoday Cotton and Agri Market APMC
Not Reported
Market Name : Bhandara APMC
Rice,3.5,Metric Tonnes,1009 Kar,Local,4500.0,4500.0,4500.0,Rs./Quintal
Rice,2.6,Metric Tonnes,Other,Local,3250.0,3250.0,3250.0,Rs./Quintal
Wheat,0.1,Metric Tonnes,Maharashtra 2189,FAQ,2600.0,2600.0,2600.0,Rs./Quintal
Market Name : Bhivandi APMC
NIL Transaction
Market Name : Bhiwapur APMC
Not Reported
Market Name : Bhokar APMC
Not Reported
Market Name : Bhokardan APMC
Not Reported
Market Name : Bhokardan(Pimpalgaon Renu) APMC
Not Reported
Market Name : Bhoom APMC
Not Reported
Market Name : Bhor APMC
Not Reported
Market Name : Bhusaval APMC
Beetroot,0.3,Metric Tonnes,Other,Local,1500.0,2000.0,2000.0,Rs./Quintal
Bhindi(Ladies Finger),0.6,Metric Tonnes,Other,Local,6000.0,6000.0,6000.0,Rs./Quintal
Brinjal,2.2,Metric Tonnes,Other,Local,4500.0,6000.0,5000.0,Rs./Quintal
Cabbage,2.4,Metric Tonnes,Other,Local,800.0,1300.0,1000.0,Rs./Quintal
Carrot,0.9,Metric Tonnes,Other,Local,1200.0,1500.0,1500.0,Rs./Quintal
Cauliflower,2.1,Metric Tonnes,Other,Local,1500.0,2000.0,1800.0,Rs./Quintal
Coriander(Leaves),4.1,Bundle,Other,Local,2000.0,2500.0,2200.0,Rs./Bundle
Cucumbar(Kheera),1.0,Metric Tonnes,Other,Local,1000.0,1500.0,1200.0,Rs./Quintal
Green Chilli,1.1,Metric Tonnes,Other,Local,4000.0,5000.0,4500.0,Rs./Quintal
Lime,6.5,Metric Tonnes,Other,Local,1500.0,2200.0,2000.0,Rs./Quintal
Little gourd(Kundru),0.1,Metric Tonnes,Other,Local,3000.0,3000.0,3000.0,Rs./Quintal
Methi(Leaves),5.4,Metric Tonnes,Other,Local,1000.0,1500.0,1200.0,Rs./Quintal
Onion,5.9,Metric Tonnes,Other,Local,1000.0,1500.0,1200.0,Rs./Quintal
Onion Green,0.2,Metric Tonnes,Other,Local,1500.0,1500.0,1500.0,Rs./Quintal
Papaya,0.1,Metric Tonnes,Other,Local,2000.0,2000.0,2000.0,Rs./Quintal
Peas Wet,1.3,Metric Tonnes,Other,Local,2500.0,3500.0,3000.0,Rs./Quintal
Potato,7.7,Metric Tonnes,Other,Local,1500.0,2000.0,1800.0,Rs./Quintal
Raddish,0.3,Metric Tonnes,Other,Local,1000.0,1500.0,1500.0,Rs./Quintal
Spinach,0.4,Metric Tonnes,Other,Local,1500.0,2000.0,2000.0,Rs./Quintal
Sweet Pumpkin,0.1,Metric Tonnes,Other,Local,1500.0,1500.0,1500.0,Rs./Quintal
Tomato,1.4,Metric Tonnes,Other,Local,2500.0,3500.0,3000.0,Rs./Quintal
Market Name : Biloli APMC
Not Reported
Market Name : Bodwad APMC
Not Reported
Market Name : Bodwad(Varangaon) APMC
Not Reported
Market Name : Bori APMC
NIL Transaction
Market Name : Bori Arab APMC
NIL Transaction
Market Name : Brahmpuri APMC
Paddy(Common),31.5,Metric Tonnes,Other,FAQ,2400.0,2700.0,2550.0,Rs./Quintal
Market Name : Buldhana APMC
Not Reported
Market Name : Buldhana(Dhad) APMC
Not Reported
Market Name : Chakur APMC
Not Reported
Market Name : Chalisgaon APMC
Not Reported
Market Name : Chamorshi APMC
Paddy(Common),4.3,Metric Tonnes,Other,FAQ,3567.0,4311.0,3908.0,Rs./Quintal
Market Name : Chandrapur APMC
Soyabean,6.4,Metric Tonnes,Other,Local,3500.0,4525.0,4350.0,Rs./Quintal
Market Name : Chandrapur(Ganjwad) APMC
Brinjal,3.2,Metric Tonnes,Other,Local,1000.0,2000.0,1500.0,Rs./Quintal
Cabbage,6.8,Metric Tonnes,Other,Local,1000.0,1500.0,1200.0,Rs./Quintal
Carrot,4.4,Metric Tonnes,Other,Local,1000.0,2000.0,1500.0,Rs./Quintal
Cauliflower,22.8,Metric Tonnes,Other,Local,400.0,1000.0,500.0,Rs./Quintal
Cucumbar(Kheera),1.7,Metric Tonnes,Other,Local,1000.0,1500.0,1200.0,Rs./Quintal
Garlic,3.2,Metric Tonnes,Other,Local,8000.0,14000.0,12000.0,Rs./Quintal
Ginger(Green),7.1,Metric Tonnes,Other,Local,5000.0,5500.0,5300.0,Rs./Quintal
Green Chilli,5.1,Metric Tonnes,Other,Local,2000.0,3000.0,2500.0,Rs./Quintal
Little gourd(Kundru),0.2,Metric Tonnes,Other,Local,2000.0,3000.0,2500.0,Rs./Quintal
Methi(Leaves),1.5,Metric Tonnes,Other,Local,1000.0,2000.0,1500.0,Rs./Quintal
Onion,25.7,Metric Tonnes,Other,Local,2000.0,2750.0,2300.0,Rs./Quintal
Peas Wet,12.7,Metric Tonnes,Other,Local,2000.0,3000.0,2500.0,Rs./Quintal
Potato,35.2,Metric Tonnes,Other,Local,1300.0,1800.0,1500.0,Rs./Quintal
Tomato,55.4,Metric Tonnes,Other,Local,2000.0,3200.0,2800.0,Rs./Quintal
Market Name : Chandur Bazar APMC
Not Reported
Market Name : Chandur Railway APMC
Not Reported
Market Name : Chandvad APMC
Onion,845.5,Metric Tonnes,Red,Local,700.0,3500.0,2100.0,Rs./Quintal
Onion,207.5,Metric Tonnes,Other,Local,600.0,1100.0,850.0,Rs./Quintal
Market Name : Chattrapati Sambhajinagar APMC
Arhar(Tur/Red Gram)(Whole),10.5,Metric Tonnes,Other,Non-FAQ,5000.0,6999.0,6000.0,Rs./Quintal
Bajra(Pearl Millet/Cumbu),0.9,Metric Tonnes,Other,Non-FAQ,2100.0,2100.0,2100.0,Rs./Quintal
Maize,89.6,Metric Tonnes,Yellow,Non-FAQ,1500.0,1742.0,1621.0,Rs./Quintal
Soyabean,0.5,Metric Tonnes,Other,Local,4350.0,4350.0,4350.0,Rs./Quintal
Wheat,1.8,Metric Tonnes,Other,FAQ,2500.0,2800.0,2650.0,Rs./Quintal
Market Name : Chikali APMC
Arhar(Tur/Red Gram)(Whole),2.0,Metric Tonnes,Other,Non-FAQ,5800.0,6911.0,6350.0,Rs./Quintal
Bengal Gram(Gram)(Whole),4.0,Metric Tonnes,Average (Whole),Non-FAQ,4000.0,4550.0,4275.0,Rs./Quintal
Soyabean,190.0,Metric Tonnes,Yellow,Non-FAQ,3700.0,4731.0,4215.0,Rs./Quintal
Wheat,3.0,Metric Tonnes,Other,Non-FAQ,2100.0,2400.0,2250.0,Rs./Quintal
Market Name : Chimur APMC
Not Reported
Market Name : Chopada APMC
Not Reported
Market Name : Cottoncity Agro Foods Private Ltd APMC
Not Reported
Market Name : Dahanu APMC
NIL Transaction
Market Name : Dahivadi APMC
Not Reported
Market Name : Dand Brothers Agro  APMC
Not Reported
Market Name : Darwha APMC
Not Reported
Market Name : Daryapur APMC
Not Reported
Market Name : Deglur APMC
Not Reported
Market Name : Deoulgaon Raja APMC
Bajra(Pearl Millet/Cumbu),0.1,Metric Tonnes,Other,FAQ,3149.0,3149.0,3149.0,Rs./Quintal
Cotton,70.0,Metric Tonnes,Desi,Local,7150.0,7360.0,7250.0,Rs./Quintal
Jowar(Sorghum),0.5,Metric Tonnes,Other,Local,2100.0,2800.0,2700.0,Rs./Quintal
Maize,0.6,Metric Tonnes,Yellow,Non-FAQ,900.0,900.0,900.0,Rs./Quintal
Soyabean,0.2,Metric Tonnes,Yellow,Non-FAQ,3300.0,4250.0,3300.0,Rs./Quintal
Wheat,0.4,Metric Tonnes,Other,Non-FAQ,2400.0,2411.0,2400.0,Rs./Quintal
Market Name : Deulgaon Raja Balaji Agro Marketing Private Market APMC
Not Reported
Market Name : Devala APMC
Bajra(Pearl Millet/Cumbu),0.1,Metric Tonnes,Other,FAQ,2985.0,2985.0,2985.0,Rs./Quintal
Maize,79.6,Metric Tonnes,Yellow,Non-FAQ,1500.0,1810.0,1700.0,Rs./Quintal
Onion,360.0,Metric Tonnes,Red,Local,200.0,2480.0,2200.0,Rs./Quintal
Onion,203.0,Metric Tonnes,Other,Local,250.0,1900.0,1650.0,Rs./Quintal
Wheat,0.3,Metric Tonnes,Maharashtra 2189,FAQ,2475.0,2570.0,2525.0,Rs./Quintal
Market Name : Devani APMC
Not Reported
Market Name : Devri APMC
Not Reported
Market Name : Dhadgaon APMC
Not Reported
Market Name : Dhamngaon-Railway APMC
Not Reported
Market Name : Dharangaon APMC
Not Reported
Market Name : Dharashiv APMC
Not Reported
Market Name : Dharmabad APMC
Not Reported
